"Gene";"Treatment";"response";"SE";"df";"t.ratio";"p.value"
"Cx26";"NIM-1";1,27101551572132;0,645706152342356;9;0,472057002303149;0,64812167432352
"Cx26";"7d_NIM-2";2,15932145072217;1,09698672311239;9;1,51527153864166;0,16400641565007
"Cx26";"30d_NIM-2";4,59812964038565;2,33595936583024;9;3,00310649461399;0,0148812193362856
"Cx26";"30d_NIM-2_1d_MAT";2,24304165305158;1,13951857976621;9;1,59014754889809;0,146264860977793
"Cx43";"NIM-1";1,09711305560135;0,326761710551403;9;0,31118361367614;0,762748087169621
"Cx43";"7d_NIM-2";0,0711013461870903;0,0211766666926285;9;-8,87613740578666;9,56162048926691e-06
"Cx43";"30d_NIM-2";0,144953047324056;0,0431724929818515;9;-6,48455490777145;0,000113472397076289
"Cx43";"30d_NIM-2_1d_MAT";0,183115659167802;0,0545387603519327;9;-5,69987239831288;0,000294355976291795
"Cx45";"NIM-1";0,879706395887184;0,165322377243838;9;-0,681997147227979;0,512408209882109
"Cx45";"7d_NIM-2";0,714966884233223;0,134363039196563;9;-1,78534970214583;0,10786087896399
"Cx45";"30d_NIM-2";0,693614857270956;0,130350373297031;9;-1,94668389686336;0,0834096772143607
"Cx45";"30d_NIM-2_1d_MAT";0,661738964226832;0,124359967362207;9;-2,19702137415098;0,0556100222234961
"NeuN";"NIM-1";2,02253737723587;0,636730764251699;9;2,23733490960224;0,0520694009936586
"NeuN";"7d_NIM-2";0,325644610302242;0,102518719271121;9;-3,56380309648425;0,00608295264741427
"NeuN";"30d_NIM-2";0,304183350993282;0,0957623328649156;9;-3,78036005976974;0,00434660628020336
"NeuN";"30d_NIM-2_1d_MAT";0,258722838409604;0,0814505543798924;9;-4,29454090327971;0,00200665582234137
"Tuj1";"NIM-1";1,15342171309153;0,143342395400697;9;1,14851755530243;0,280363752052735
"Tuj1";"7d_NIM-2";1,54684340914405;0,192235187754691;9;3,51006693862816;0,00661792617178481
"Tuj1";"30d_NIM-2";1,5553375882294;0,19329080857684;9;3,55413245117081;0,00617577542979336
"Tuj1";"30d_NIM-2_1d_MAT";1,58118739793617;0,196503314117496;9;3,68676859672341;0,005022477994841
